created_date,created_num,converted_num,converted_run_total,created_run_total,converted_rate,log_of_converted_rate,converted_run_total_log,created_run_total_log,converted_rate_log
2019-01-20,88,38,1254,7319,17.133488181445554,2.8410349215797304,7.134093721192866,8.898228985601227,80.17431033452819
2019-01-27,241,28,1282,7560,16.95767195767196,2.8307203542951282,7.156176637480615,8.930626469173578,80.13073508540586
2019-02-03,158,26,1308,7718,16.94739569836745,2.830114175907671,7.176254532017144,8.951310542097564,80.16987566532944
2019-02-10,181,18,1326,7899,16.786935055070263,2.8206009085694803,7.189922170745808,8.97449144816442,80.11509300860034
2019-02-17,313,16,1342,8212,16.34193862640039,2.793734725380894,7.201916317531627,9.013351778138825,79.90275421180507
2019-02-24,589,18,1360,8801,15.452789455743666,2.7377895343443774,7.215239978730097,9.082620630373812,79.44006771130702
2019-03-03,242,21,1381,9043,15.271480703306425,2.7259870826569035,7.2305631534092925,9.10974625674048,79.37172946018399
2019-03-10,201,22,1403,9244,15.177412375594981,2.719808294696281,7.246368080102461,9.131729971394272,79.35372709007136
2019-03-17,261,30,1433,9505,15.076275644397686,2.7131223588937337,7.267525427828172,9.15957325492253,79.34349369303276
2019-03-24,219,28,1461,9724,15.02468120115179,2.709694262302777,7.2868764117507,9.182352335436015,79.35740369741202
2019-03-31,249,32,1493,9973,14.97042013436278,2.706076263125414,7.30854279753919,9.207636720401869,79.37479528645227
2019-04-07,179,70,1563,10152,15.39598108747045,2.7341065070153445,7.354362330421477,9.225426009394223,79.71840349629981
2019-04-14,225,85,1648,10377,15.881275898621952,2.76514079885223,7.4073177104694174,9.247347097605278,80.10208368179063
2019-04-21,291,50,1698,10668,15.91676040494938,2.767372667557479,7.437206366871292,9.275003885301905,80.18547979971233
2019-04-28,291,67,1765,10959,16.105484077014324,2.7791598398920963,7.475905969367397,9.301916315463393,80.36952511537372
2019-05-05,216,42,1807,11175,16.170022371364652,2.7831590570985503,7.499423290592229,9.32143441948177,80.45353271936834
2019-05-12,252,47,1854,11427,16.22473090049882,2.786536676967178,7.5251007461258,9.343734255146714,80.5363309854497
2019-05-19,331,40,1894,11758,16.108181663548223,2.7793273207719147,7.546446273746024,9.3722891389622,80.51870959010604
2019-05-26,312,61,1955,12070,16.197183098591548,2.78483734431598,7.578145472419466,9.398478314091577,80.63162162173849
2019-06-02,449,81,2036,12519,16.263279814681685,2.7889097943988426,7.618742377670413,9.435002769259663,80.749763025965
2019-06-09,353,62,2098,12872,16.29894344313238,2.7911002862721146,7.6487397889562425,9.46280968867222,80.8294791991054
2019-06-16,351,49,2147,13223,16.236860016637678,2.78728396731005,7.671826797878781,9.489713016556824,80.84361228304425
2019-06-23,424,48,2195,13647,16.084121052245916,2.7778325152592496,7.693937325509272,9.521274996238114,80.80784693803268
2019-06-30,2072,124,2319,15719,14.752846873210764,2.691436072515385,7.7488913372555315,9.662625450728237,80.19447071366639
2019-07-07,343,31,2350,16062,14.63080562819076,2.6831292803778886,7.762170607138205,9.684211512748407,80.15284049630675
2019-07-14,381,57,2407,16443,14.638447971781305,2.683651490056937,7.786136437783072,9.707655133714226,80.20614999746117
2019-07-21,362,62,2469,16805,14.692055935733412,2.687306935174065,7.81156848934518,9.729431740159207,80.28802398707569
2019-07-28,334,50,2519,17139,14.697473598226267,2.6876756149481293,7.831617276352611,9.749111847392573,80.33159736953063
2019-08-04,369,62,2581,17508,14.741832305231894,2.690689187395919,7.855932199718614,9.770413198310786,80.40532207048145
2019-08-11,318,62,2643,17826,14.826657691013127,2.696426755901718,7.879669914604289,9.788413344690662,80.49997111000941
2019-08-18,464,71,2714,18290,14.838709677419354,2.6972392849979943,7.906178840394815,9.814109741384911,80.55930745358815
2019-08-25,416,60,2774,18706,14.829466481342884,2.696616179868372,7.928045600874777,9.836599606994497,80.59742103599899
2019-09-01,141,45,2819,18847,14.95728763198387,2.705198648085576,7.9441374911141125,9.844109029016629,80.69940578368103
2019-09-08,391,68,2887,19238,15.006757459195343,2.7085005969384657,7.967973179662935,9.86464276871256,80.7730534848637
2019-09-15,435,75,2962,19673,15.056168352564429,2.71178776453957,7.993619994827744,9.887002416276266,80.84978296018639
2019-09-22,593,58,3020,20266,14.901805980459883,2.701482412348744,8.013012110368916,9.916699884008263,80.8032128035936
2019-09-29,467,94,3114,20733,15.01953407611055,2.709351625622531,8.043663352393944,9.939481912759504,80.9263845238064
2019-10-06,314,67,3181,21047,15.113792939611345,2.7156077665980636,8.064950891749143,9.954513311139172,81.01803312397409
2019-10-13,525,72,3253,21572,15.079732987205636,2.713351656004325,8.087332926473351,9.979151456457117,81.04229063725008
2019-10-20,337,66,3319,21909,15.149025514628692,2.7179362074198465,8.107418811719974,9.99465279028822,81.11756337946962
2019-10-27,649,90,3409,22558,15.112155332919585,2.7154994089261324,8.134174272137903,10.023845049199862,81.14824433351752
2019-11-03,557,73,3482,23115,15.063811377893144,2.7122952698939,8.155362120328135,10.048237036422325,81.16211919331724
2019-11-10,611,65,3547,23726,14.949844052937706,2.7047008685406646,8.173857454773621,10.074326772221049,81.13552041325697
2019-11-17,641,48,3595,24367,14.753560142816104,2.6914844192764864,8.187299270155147,10.100985036866753,81.05446389904547
2019-11-24,601,73,3668,24968,14.690804229413649,2.6872217354138312,8.207401833376355,10.125350283950615,81.0579545715634
2019-12-01,784,35,3703,25752,14.37946567256912,2.66580119392306,8.216898580913613,10.156267572978644,80.90470757953604
2019-12-08,593,62,3765,26345,14.291136838109699,2.6596395435786993,8.233503140233994,10.179033782643387,80.88688294043406
2019-12-15,1379,49,3814,27724,13.757033617082673,2.6215502291105803,8.246433786160365,10.230053743037875,80.60987745809767
2019-12-22,851,49,3863,28575,13.518810148731408,2.604082059991361,8.259199362666282,10.260287488663012,80.49676358281569
2019-12-29,313,19,3882,28888,13.438105787870397,2.5980943867597532,8.264105763728956,10.271181562957294,80.45915373099045
2020-01-05,179,20,3902,29067,13.42415797983968,2.597055918118034,8.269244521183056,10.277358789053114,80.4607943627599
2020-01-12,831,64,3966,29898,13.265101344571542,2.585136627558373,8.285513309079741,10.30554686750946,80.39857967364813
2020-01-19,1014,75,4041,30912,13.072593167701863,2.5705179140543204,8.304247465078474,10.338899737012245,80.32041780374448
2020-01-26,2322,74,4115,33234,12.381898056207499,2.5162355718381026,8.32239411311117,10.411328727261159,79.93594603654867
2020-02-02,3697,64,4179,36931,11.315696840053072,2.4261908626998467,8.337827262447915,10.516806585736159,79.28097939688676
2020-02-09,218,75,4254,37149,11.451183073568602,2.4380930498650657,8.355614995760183,10.522692131883208,79.40567766344799
2020-02-16,730,59,4313,37879,11.386256236965073,2.4324070348396107,8.369388996647842,10.542152147796324,79.38975722710789
