converted_date,lead_or_opp_id,Weeks_Left_to_Year,Weeks_Left_to_Quarter,Weeks_Left_to_Month
2019-10-20,9,10,10,1
2019-10-27,4,9,9,0
2019-11-03,7,8,8,3
2019-11-10,10,7,7,2
2019-11-17,8,6,6,1
2019-11-24,12,5,5,0
2019-12-01,4,4,4,4
2019-12-08,13,3,3,3
2019-12-15,3,2,2,2
2019-12-22,6,1,1,1
2019-12-29,3,0,0,0
2020-01-05,2,51,12,3
2020-01-12,7,50,11,2
2020-01-19,11,49,10,1
2020-01-26,7,48,9,0
2020-02-02,7,47,8,3
2020-02-09,9,46,7,2
2020-02-16,24,45,6,1
2020-02-23,14,44,5,0
2020-03-01,9,43,4,4
2020-03-08,7,42,3,3
2020-03-15,15,41,2,2
2020-03-22,10,40,1,1
2020-03-29,15,39,0,0
2020-04-05,12,38,12,3
2020-04-12,11,37,11,2
2020-04-19,10,36,10,1
2020-04-26,15,35,9,0
2020-05-03,17,34,8,4
2020-05-10,11,33,7,3
2020-05-17,17,32,6,2
2020-05-24,12,31,5,1
2020-05-31,6,30,4,0
2020-06-07,12,29,3,3
2020-06-14,20,28,2,2
2020-06-21,21,27,1,1
2020-06-28,18,26,0,0
2020-07-05,14,25,12,3
2020-07-12,15,24,11,2
2020-07-19,21,23,10,1
2020-07-26,17,22,9,0
2020-08-02,23,21,8,4
2020-08-09,27,20,7,3
2020-08-16,29,19,6,2
2020-08-23,10,18,5,1
2020-08-30,,17,4,0
2020-09-06,,16,3,3
2020-09-13,,15,2,2
2020-09-20,,14,1,1
2020-09-27,,13,0,0
2020-10-04,,12,12,3
2020-10-11,,11,11,2
2020-10-18,,10,10,1
2020-10-25,,9,9,0
2020-11-01,,8,8,4
2020-11-08,,7,7,3
2020-11-15,,6,6,2
